Pay_Type,Month,Bet_Type,Turnover,Ticket,Comp_Turn,PL
Credit,2006.91666666667,Straight Handicap,,,,
Credit,2006.91666666667,Straight Over Under,,,,
Credit,2006.91666666667,Straight 1 x 2,,,,
Credit,2006.91666666667,RB Asian Handicap,,,,
Credit,2006.91666666667,RB Over Under,,,,
Credit,2006.91666666667,Correct Score,,,,
Credit,2006.91666666667,Total Goal,,,,
Credit,2006.91666666667,Half Time / Full Time,,,,
Credit,2006.91666666667,Handicap (1st Half),,,,
Credit,2006.91666666667,Over Under (1st Half),,,,
Credit,2006.91666666667,1 x 2 (1st Half),,,,
Credit,2006.91666666667,RB Handicap (1st Half),,,,
Credit,2006.91666666667,RB Over Under (1st Half),,,,
Credit,2006.91666666667,Correct Score (1st Half),,,,
Cash,2006.91666666667,Straight Handicap,,,,
Cash,2006.91666666667,Straight Over Under,,,,
Cash,2006.91666666667,Straight 1 x 2,,,,
Cash,2006.91666666667,RB Asian Handicap,,,,
Cash,2006.91666666667,RB Over Under,,,,
Cash,2006.91666666667,Correct Score,,,,
Cash,2006.91666666667,Total Goal,,,,
Cash,2006.91666666667,Half Time / Full Time,,,,
Cash,2006.91666666667,Handicap (1st Half),,,,
Cash,2006.91666666667,Over Under (1st Half),,,,
Cash,2006.91666666667,1 x 2 (1st Half),,,,
Cash,2006.91666666667,RB Handicap (1st Half),,,,
Cash,2006.91666666667,RB Over Under (1st Half),,,,
Cash,2006.91666666667,Correct Score (1st Half),,,,
Credit,2006.91666666667,Straight Handicap,,,,
Credit,2006.91666666667,Straight Over Under,,,,
Credit,2006.91666666667,Straight 1 x 2,,,,
Credit,2006.91666666667,RB Asian Handicap,,,,
Credit,2006.91666666667,RB Over Under,,,,
Credit,2006.91666666667,Correct Score,,,,
Credit,2006.91666666667,Total Goal,,,,
Credit,2006.91666666667,Half Time / Full Time,,,,
Credit,2006.91666666667,Handicap (1st Half),,,,
Credit,2006.91666666667,Over Under (1st Half),,,,
Credit,2006.91666666667,1 x 2 (1st Half),,,,
Credit,2006.91666666667,RB Handicap (1st Half),,,,
Credit,2006.91666666667,RB Over Under (1st Half),,,,
Credit,2006.91666666667,Correct Score (1st Half),,,,
Cash,2006.91666666667,Straight Handicap,,,,
Cash,2006.91666666667,Straight Over Under,,,,
Cash,2006.91666666667,Straight 1 x 2,,,,
Cash,2006.91666666667,RB Asian Handicap,,,,
Cash,2006.91666666667,RB Over Under,,,,
Cash,2006.91666666667,Correct Score,,,,
Cash,2006.91666666667,Total Goal,,,,
Cash,2006.91666666667,Half Time / Full Time,,,,
Cash,2006.91666666667,Handicap (1st Half),,,,
Cash,2006.91666666667,Over Under (1st Half),,,,
Cash,2006.91666666667,1 x 2 (1st Half),,,,
Cash,2006.91666666667,RB Handicap (1st Half),,,,
Cash,2006.91666666667,RB Over Under (1st Half),,,,
Cash,2006.91666666667,Correct Score (1st Half),,,,
Credit,2006.91666666667,Straight Handicap,,,,
Credit,2006.91666666667,Straight Over Under,,,,
Credit,2006.91666666667,Straight 1 x 2,,,,
Credit,2006.91666666667,RB Asian Handicap,,,,
Credit,2006.91666666667,RB Over Under,,,,
Credit,2006.91666666667,Correct Score,,,,
Credit,2006.91666666667,Total Goal,,,,
Credit,2006.91666666667,Half Time / Full Time,,,,
Credit,2006.91666666667,Handicap (1st Half),,,,
Credit,2006.91666666667,Over Under (1st Half),,,,
Credit,2006.91666666667,1 x 2 (1st Half),,,,
Credit,2006.91666666667,RB Handicap (1st Half),,,,
Credit,2006.91666666667,RB Over Under (1st Half),,,,
Credit,2006.91666666667,Correct Score (1st Half),,,,
Cash,2006.91666666667,Straight Handicap,,,,
Cash,2006.91666666667,Straight Over Under,,,,
Cash,2006.91666666667,Straight 1 x 2,,,,
Cash,2006.91666666667,RB Asian Handicap,,,,
Cash,2006.91666666667,RB Over Under,,,,
Cash,2006.91666666667,Correct Score,,,,
Cash,2006.91666666667,Total Goal,,,,
Cash,2006.91666666667,Half Time / Full Time,,,,
Cash,2006.91666666667,Handicap (1st Half),,,,
Cash,2006.91666666667,Over Under (1st Half),,,,
Cash,2006.91666666667,1 x 2 (1st Half),,,,
Cash,2006.91666666667,RB Handicap (1st Half),,,,
Cash,2006.91666666667,RB Over Under (1st Half),,,,
Cash,2006.91666666667,Correct Score (1st Half),,,,
Credit,2006.91666666667,Straight Handicap,8871724.4,3924,2157053.3,-3600.9
Credit,2006.91666666667,Straight Over Under,,,,
Credit,2006.91666666667,Straight 1 x 2,,,,
Credit,2006.91666666667,RB Asian Handicap,14336419.3,5932,3886699.1,-317496.8
Credit,2006.91666666667,RB Over Under,,,,
Credit,2006.91666666667,Correct Score,,,,
Credit,2006.91666666667,Total Goal,,,,
Credit,2006.91666666667,Half Time / Full Time,,,,
Credit,2006.91666666667,Handicap (1st Half),,,,
Credit,2006.91666666667,Over Under (1st Half),,,,
Credit,2006.91666666667,1 x 2 (1st Half),,,,
Credit,2006.91666666667,RB Handicap (1st Half),,,,
Credit,2006.91666666667,RB Over Under (1st Half),,,,
Credit,2006.91666666667,Correct Score (1st Half),,,,
Cash,2006.91666666667,Straight Handicap,,,,
Cash,2006.91666666667,Straight Over Under,,,,
Cash,2006.91666666667,Straight 1 x 2,,,,
